Rank,Lane,Name,Winning Rate,Pick rate
Bronze,Top,Azir,48.7,0.03
Bronze,Top,Janna,32.85,0.04
Bronze,Top,Taric,35.81,0.04
Bronze,Top,Gragas,38.1,0.04
Bronze,Top,Anivia,23.53,0.05
Bronze,Top,Viktor,39.78,0.05
Bronze,Top,Sejuani,45.83,0.05
Bronze,Top,Karthus,49.45,0.05
Bronze,Top,Skarner,53.04,0.05
Bronze,Top,Ziggs,41.06,0.06
Bronze,Top,Kha'Zix,46.23,0.06
Bronze,Top,Lissandra,49.22,0.07
Bronze,Top,Draven,50.21,0.07
Bronze,Top,Corki,45.59,0.08
Bronze,Top,Viktor,48.84,0.09
Bronze,Top,Zilean,51.53,0.09
Bronze,Top,Brand,42.94,0.1
Bronze,Top,Udyr,45.86,0.1
Bronze,Top,Lulu,42.78,0.11
Bronze,Top,Annie,52.48,0.11
Bronze,Top,Soraka,38.49,0.14
Bronze,Top,Twisted Fate,42.68,0.14
Bronze,Top,Graves,50.21,0.14
Bronze,Top,Diana,48.75,0.16
Bronze,Top,Nidalee,39.41,0.17
Bronze,Top,Malzahar,49.68,0.18
Bronze,Top,Galio,46.7,0.19
Bronze,Top,Xin Zhao,47.28,0.2
Bronze,Top,Kassadin,45.41,0.22
Bronze,Top,Tristana,46.49,0.22
Bronze,Top,Zed,48.02,0.22
Bronze,Top,Veigar,48.83,0.22
Bronze,Top,Swain,47.14,0.24
Bronze,Top,Rammus,48.78,0.29
Bronze,Top,Karma,43.96,0.33
Bronze,Top,Shaco,49.09,0.33
Bronze,Top,Nocturne,50.4,0.36
Bronze,Top,Neeko,68.6,0.38
Bronze,Top,Hecarim,49.58,0.41
Bronze,Top,Sion,52.47,0.46
Bronze,Top,Tahm Kench,47.14,0.49
Bronze,Top,Warwick,48.85,0.49
Bronze,Top,Shyvana,50.81,0.5
Bronze,Top,Cassiopeia,51.69,0.5
Bronze,Top,Rumble,49.94,0.52
Bronze,Top,Kalista,48.2,0.58
Bronze,Top,Trundle,48.05,0.67
Bronze,Top,Master Yi,47.74,0.68
Bronze,Top,Ryze,47.02,0.81
Bronze,Top,Kayn,50.19,0.91
Bronze,Top,Cho'Gath,47.18,0.92
Bronze,Top,Pantheon,44.28,1.03
Bronze,Top,Kennen,48.02,1.07
Bronze,Top,Rengar,50.26,1.11
Bronze,Top,Olaf,44.99,1.13
Bronze,Top,Zac,50.92,1.18
Bronze,Top,Camille,48.98,1.2
Bronze,Top,Kled,50.42,1.2
Bronze,Top,Singed,50.05,1.21
Bronze,Top,Gnar,48.34,1.22
Bronze,Top,Gangplank,46.93,1.23
Bronze,Top,Fiddlesticks,51.77,1.25
Bronze,Top,Urgot,50.95,1.39
Bronze,Top,Heimerdinger,49.24,1.52
Bronze,Top,Lucian,45.39,1.56
Bronze,Top,Jayce,48.35,1.65
Bronze,Top,Tryndamere,49.53,1.73
Bronze,Top,Poppy,47.16,1.82
Bronze,Top,Quinn,51.13,1.95
Bronze,Top,Riven,47.04,2.02
Bronze,Top,Shen,49.39,2.06
Bronze,Top,Yasuo,50.93,
Bronze,Top,Yorick,51.27,2.22
Bronze,Top,Kayle,48.81,2.24
Bronze,Top,Sylas,45.26,2.7
Bronze,Top,Wukong,48.49,2.7
Bronze,Top,Dr. Mundo,49.61,2.77
Bronze,Top,Vladimir,46.82,2.81
Bronze,Top,Vayne,50.12,3.12
Bronze,,Akali,44.01,3.68
Bronze,Top,,48.41,4.07
Bronze,Top,Maokai,49.75,4.39
Bronze,Top,Nasus,49.87,4.48
Bronze,Top,illaoi,49.75,4.85
Bronze,Top,Irelia,46.67,5.16
Bronze,Top,Fiora,50.31,5.2
Bronze,Top,Volibear,41.84,6.26
Bronze,Top,Malphite,48.28,6.31
Bronze,Top,Teemo,50.2,7.42
Bronze,Top,Aatrox,46.51,7.53
Bronze,Top,Sett,45.44,8.35
Bronze,Top,Ornn,49.52,9.77
Bronze,Top,Mordekaiser,47.68,12.07
Bronze,Top,Darius,48.54,12.61
Bronze,Top,Renekton,45.68,12.92
Bronze,Top,Garen,49.94,18.19
Bronze,Jungle,Anivia,17.65,0.06
Bronze,Jungle,Kayle,45.28,0.06
Bronze,Jungle,Kled,46.84,0.06
Bronze,Jungle,Yorick,42.79,0.07
Bronze,Jungle,urgot,42.33,0.11
Bronze,Jungle,Tahm Kench,42.36,0.11
Bronze,Jungle,Brand,46.56,0.11
Bronze,Jungle,Sion,50.13,0.11
Bronze,Jungle,Twisted Fate,41.79,0.13
Bronze,Jungle,Rumble,44.7,0.13
Bronze,Jungle,Qiyana,35.43,0.14
Bronze,Jungle,Singed,39.6,0.14
Bronze,Jungle,Quinn,45.6,0.17
Bronze,Jungle,Taliyah,42.13,0.22
Bronze,Jungle,Riven,40.5,0.23
Bronze,Jungle,Skarner,52.81,0.23
Bronze,Jungle,Morgana,50.38,0.28
Bronze,Jungle,Camille,44.08,0.33
Bronze,Jungle,Cho'Gath,49.26,0.33
Bronze,Jungle,Maokai,46.53,0.35
Bronze,Jungle,Ivern,47.04,0.38
Bronze,Jungle,Twitch,44.08,0.43
Bronze,Jungle,Aatrox,44.08,0.45
Bronze,Jungle,Shen,48.62,0.48
Bronze,Jungle,Mordekaiser,44.57,0.53
Bronze,Jungle,Rengar,42.48,0.62
Bronze,Jungle,Diana,44.58,0.65
Bronze,Jungle,Nasus,46.44,0.65
Bronze,Jungle,Teemo,,0.72
Bronze,Jungle,Tryndamere,,0.86
Bronze,Jungle,Garen,42.27,0.96
Bronze,Jungle,Karthus,47.05,1.13
Bronze,Jungle,Poppy,48.79,1.21
Bronze,Jungle,Udyr,51.14,1.4
Bronze,Jungle,Pantheon,44.25,1.45
Bronze,Jungle,Kindred,47.94,1.46
Bronze,Jungle,Sejuani,48.84,1.53
Bronze,Jungle,Kha'Zix,45.75,1.62
Bronze,Jungle,Gragas,46.0,1.65
Bronze,Jungle,Malphite,46.86,1.7
Bronze,Jungle,Rek'Sai,47.12,1.75
Bronze,Jungle,Vi,48.97,1.95
Bronze,Jungle,Sett,47.45,2.15
Bronze,Jungle,Dr. Mundo,49.13,2.2
Bronze,Jungle,Hecarim,49.23,2.32
Bronze,Jungle,Fiddlesticks,49.66,2.49
Bronze,Jungle,Wukong,48.74,3.37
Bronze,Jungle,Nidalee,47.35,3.39
Bronze,Jungle,Shaco,,3.59
Bronze,Jungle,,46.92,4.11
Bronze,Jungle,Elise,49.54,4.14
Bronze,Jungle,Jarvan IV,48.43,4.38
Bronze,Jungle,Nocturne,47.35,4.72
Bronze,Jungle,Xin Zhao,48.53,4.95
Bronze,Jungle,Rammus,50.77,
